Entity,Code,Year,Individuals using the Internet (% of population)
Austria,AUT,1990,0.13036938
Austria,AUT,1991,0.25908154
Austria,AUT,1992,0.6428176
Austria,AUT,1993,0.7653427
Austria,AUT,1994,1.393423
Austria,AUT,1995,1.8902105
Austria,AUT,1996,6.9091625
Austria,AUT,1997,9.533975
Austria,AUT,1998,15.421219
Austria,AUT,1999,23.044317
Austria,AUT,2000,33.730133
Austria,AUT,2001,39.18545
Austria,AUT,2002,36.56
Austria,AUT,2003,42.7
Austria,AUT,2004,54.28
Austria,AUT,2005,58
Austria,AUT,2006,63.6
Austria,AUT,2007,69.37
Austria,AUT,2008,72.87
Austria,AUT,2009,73.45
Austria,AUT,2010,75.17
Austria,AUT,2011,78.73999
Austria,AUT,2012,80.02999
Austria,AUT,2013,80.6188
Austria,AUT,2014,80.99583
Austria,AUT,2015,83.94014
Austria,AUT,2016,84.323746
Austria,AUT,2017,87.935585
Austria,AUT,2018,87.47913
Austria,AUT,2019,87.752205
Austria,AUT,2020,87.52943
Austria,AUT,2021,92.52915
Austria,AUT,2022,93.61409
Brazil,BRA,1990,0
Brazil,BRA,1991,0.003288171
Brazil,BRA,1992,0.012946262
Brazil,BRA,1993,0.025498252
Brazil,BRA,1994,0.03767271
Brazil,BRA,1995,0.10513817
Brazil,BRA,1996,0.45078918
Brazil,BRA,1997,0.78607917
Brazil,BRA,1998,1.477875
Brazil,BRA,1999,2.0387323
Brazil,BRA,2000,2.870685
Brazil,BRA,2001,4.528495
Brazil,BRA,2002,9.1494255
Brazil,BRA,2003,13.207586
Brazil,BRA,2004,19.073671
Brazil,BRA,2005,21.022747
Brazil,BRA,2006,28.178381
Brazil,BRA,2007,30.88
Brazil,BRA,2008,33.83
Brazil,BRA,2009,39.22
Brazil,BRA,2010,40.65
Brazil,BRA,2011,45.69
Brazil,BRA,2012,48.56
Brazil,BRA,2013,51.04
Brazil,BRA,2014,54.551003
Brazil,BRA,2015,58.327953
Brazil,BRA,2016,60.87254
Brazil,BRA,2017,67.47128
Brazil,BRA,2018,70.43428
Brazil,BRA,2019,73.91244
Brazil,BRA,2020,81.3427
Brazil,BRA,2021,80.689896
Brazil,BRA,2022,80.52775
Canada,CAN,1990,0.3609997
Canada,CAN,1991,0.57038593
Canada,CAN,1992,0.91598105
Canada,CAN,1993,1.1845576
Canada,CAN,1994,2.3786938
Canada,CAN,1995,4.163525
Canada,CAN,1996,6.7602396
Canada,CAN,1997,15.072357
Canada,CAN,1998,24.8974
Canada,CAN,1999,36.18644
Canada,CAN,2000,51.3
Canada,CAN,2001,60.2
Canada,CAN,2002,61.5933
Canada,CAN,2003,64.2
Canada,CAN,2004,65.95596
Canada,CAN,2005,71.66
Canada,CAN,2006,72.4
Canada,CAN,2007,73.2
Canada,CAN,2008,76.7
Canada,CAN,2009,80.3
Canada,CAN,2010,80.3
Canada,CAN,2011,83
Canada,CAN,2012,83
Canada,CAN,2013,85.8
Canada,CAN,2014,87.12
Canada,CAN,2015,90
Canada,CAN,2016,91.16
Canada,CAN,2017,92.70137
Canada,CAN,2018,94.64
Canada,CAN,2019,91.912895
Canada,CAN,2020,92.3
Canada,CAN,2021,92.834015
China,CHN,1990,0
China,CHN,1991,0
China,CHN,1992,0
China,CHN,1993,0.00016868
China,CHN,1994,0.001168115
China,CHN,1995,0.00495471
